ticker,sector
20MICRONS.NS,UNKNOWN
21STCENMGM.NS,UNKNOWN
360ONE.NS,FINANCIAL_SERVICES
3IINFOLTD.NS,UNKNOWN
3MINDIA.NS,DIVERSIFIED
3PLAND.NS,UNKNOWN
5PAISA.NS,UNKNOWN
63MOONS.NS,UNKNOWN
A2ZINFRA.NS,UNKNOWN
AAATECH.NS,UNKNOWN
AADHARHFC.NS,FINANCIAL_SERVICES
AAKASH.NS,UNKNOWN
AAREYDRUGS.NS,UNKNOWN
AARON.NS,UNKNOWN
AARTECH.NS,UNKNOWN
AARTIDRUGS.NS,UNKNOWN
AARTIIND.NS,CHEMICALS
AARTIPHARM.NS,UNKNOWN
AARTISURF.NS,UNKNOWN
AARVI.NS,UNKNOWN
AAVAS.NS,FINANCIAL_SERVICES
ABAN.NS,UNKNOWN
ABB.NS,CAPITAL_GOODS
ABBOTINDIA.NS,HEALTHCARE
ABCAPITAL.NS,FINANCIAL_SERVICES
ABCOTS.NS,UNKNOWN
ABDL.NS,UNKNOWN
ABFRL.NS,CONSUMER_SERVICES
ABINFRA.NS,UNKNOWN
ABLBL.NS,CONSUMER_SERVICES
ABMINTLLTD.NS,UNKNOWN
ABREL.NS,FOREST_MATERIALS
ABSLAMC.NS,FINANCIAL_SERVICES
ACC.NS,CONSTRUCTION_MATERIALS
ACCELYA.NS,UNKNOWN
ACCURACY.NS,UNKNOWN
ACE.NS,CAPITAL_GOODS
ACEINTEG.NS,UNKNOWN
ACI.NS,UNKNOWN
ACL.NS,UNKNOWN
ACMESOLAR.NS,POWER
ACUTAAS.NS,UNKNOWN
ADANIENSOL.NS,POWER
ADANIENT.NS,METALS_AND_MINING
ADANIGREEN.NS,POWER
ADANIPORTS.NS,SERVICES
ADANIPOWER.NS,POWER
ADFFOODS.NS,UNKNOWN
ADL.NS,UNKNOWN
ADOR.NS,UNKNOWN
ADROITINFO.NS,UNKNOWN
ADSL.NS,UNKNOWN
ADVANCE.NS,UNKNOWN
ADVANIHOTR.NS,UNKNOWN
ADVENTHTL.NS,CONSUMER_SERVICES
ADVENZYMES.NS,UNKNOWN
AEGISLOG.NS,OIL_GAS_AND_CONSUMABLE_FUELS
AEGISVOPAK.NS,OIL_GAS_AND_CONSUMABLE_FUELS
AEROENTER.NS,UNKNOWN
AEROFLEX.NS,UNKNOWN
AERONEU.NS,UNKNOWN
AETHER.NS,UNKNOWN
AFCONS.NS,CONSTRUCTION
AFFLE.NS,INFORMATION_TECHNOLOGY
AFFORDABLE.NS,UNKNOWN
AFIL.NS,UNKNOWN
AFSL.NS,UNKNOWN
AGARIND.NS,UNKNOWN
AGARWALEYE.NS,HEALTHCARE
AGI.NS,UNKNOWN
AGIIL.NS,UNKNOWN
AGRITECH.NS,UNKNOWN
AGROPHOS.NS,UNKNOWN
AGSTRA.NS,UNKNOWN
AHCL.NS,UNKNOWN
AHLADA.NS,UNKNOWN
AHLEAST.NS,UNKNOWN
AHLUCONT.NS,UNKNOWN
AIAENG.NS,CAPITAL_GOODS
AIIL.NS,FINANCIAL_SERVICES
AIRAN.NS,UNKNOWN
AIROLAM.NS,UNKNOWN
AJANTPHARM.NS,HEALTHCARE
AJAXENGG.NS,UNKNOWN
AJMERA.NS,UNKNOWN
AJOONI.NS,UNKNOWN
AKASH.NS,UNKNOWN
AKG.NS,UNKNOWN
AKI.NS,UNKNOWN
AKSHAR.NS,UNKNOWN
AKSHARCHEM.NS,UNKNOWN
AKSHOPTFBR.NS,UNKNOWN
AKUMS.NS,HEALTHCARE
AKZOINDIA.NS,CONSUMER_DURABLES
ALANKIT.NS,UNKNOWN
ALBERTDAVD.NS,UNKNOWN
ALEMBICLTD.NS,UNKNOWN
ALICON.NS,UNKNOWN
ALIVUS.NS,UNKNOWN
ALKALI.NS,UNKNOWN
ALKEM.NS,HEALTHCARE
ALKYLAMINE.NS,CHEMICALS
ALLCARGO.NS,UNKNOWN
ALLDIGI.NS,UNKNOWN
ALLTIME.NS,UNKNOWN
ALMONDZ.NS,UNKNOWN
ALOKINDS.NS,TEXTILES
ALPA.NS,UNKNOWN
ALPHAGEO.NS,UNKNOWN
ALPSINDUS.NS,UNKNOWN
AMANTA.NS,UNKNOWN
AMBER.NS,CONSUMER_DURABLES
AMBICAAGAR.NS,UNKNOWN
AMBIKCO.NS,UNKNOWN
AMBUJACEM.NS,CONSTRUCTION_MATERIALS
AMDIND.NS,UNKNOWN
AMJLAND.NS,UNKNOWN
AMNPLST.NS,UNKNOWN
AMRUTANJAN.NS,UNKNOWN
ANANDRATHI.NS,FINANCIAL_SERVICES
ANANTRAJ.NS,REALTY
ANDHRAPAP.NS,UNKNOWN
ANDHRSUGAR.NS,UNKNOWN
ANGELONE.NS,FINANCIAL_SERVICES
ANIKINDS.NS,UNKNOWN
ANKITMETAL.NS,UNKNOWN
ANMOL.NS,UNKNOWN
ANSALAPI.NS,UNKNOWN
ANTELOPUS.NS,UNKNOWN
ANTGRAPHIC.NS,UNKNOWN
ANTHEM.NS,UNKNOWN
ANUHPHR.NS,UNKNOWN
ANUP.NS,UNKNOWN
ANURAS.NS,UNKNOWN
APARINDS.NS,CAPITAL_GOODS
APCL.NS,UNKNOWN
APCOTEXIND.NS,UNKNOWN
APEX.NS,UNKNOWN
APLAPOLLO.NS,CAPITAL_GOODS
APLLTD.NS,HEALTHCARE
APOLLO.NS,UNKNOWN
APOLLOHOSP.NS,HEALTHCARE
APOLLOPIPE.NS,UNKNOWN
APOLLOTYRE.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
APOLSINHOT.NS,UNKNOWN
APTECHT.NS,UNKNOWN
APTUS.NS,FINANCIAL_SERVICES
ARCHIDPLY.NS,UNKNOWN
ARCHIES.NS,UNKNOWN
ARE&M.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
ARENTERP.NS,UNKNOWN
ARFIN.NS,UNKNOWN
ARIES.NS,UNKNOWN
ARIHANTCAP.NS,UNKNOWN
ARIHANTSUP.NS,UNKNOWN
ARISINFRA.NS,UNKNOWN
ARKADE.NS,UNKNOWN
ARMANFIN.NS,UNKNOWN
AROGRANITE.NS,UNKNOWN
ARROWGREEN.NS,UNKNOWN
ARSHIYA.NS,UNKNOWN
ARSSBL.NS,UNKNOWN
ARTEMISMED.NS,UNKNOWN
ARTNIRMAN.NS,UNKNOWN
ARVEE.NS,UNKNOWN
ARVIND.NS,UNKNOWN
ARVINDFASN.NS,UNKNOWN
ARVSMART.NS,UNKNOWN
ASAHIINDIA.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
ASAHISONG.NS,UNKNOWN
ASAL.NS,UNKNOWN
ASALCBR.NS,UNKNOWN
ASHAPURMIN.NS,UNKNOWN
ASHIANA.NS,UNKNOWN
ASHIMASYN.NS,UNKNOWN
ASHOKA.NS,UNKNOWN
ASHOKAMET.NS,UNKNOWN
ASHOKLEY.NS,CAPITAL_GOODS
ASIANENE.NS,UNKNOWN
ASIANHOTNR.NS,UNKNOWN
ASIANPAINT.NS,CONSUMER_DURABLES
ASIANTILES.NS,UNKNOWN
ASKAUTOLTD.NS,UNKNOWN
ASMS.NS,UNKNOWN
ASPINWALL.NS,UNKNOWN
ASTEC.NS,UNKNOWN
ASTERDM.NS,HEALTHCARE
ASTRAL.NS,CAPITAL_GOODS
ASTRAMICRO.NS,UNKNOWN
ASTRAZEN.NS,HEALTHCARE
ASTRON.NS,UNKNOWN
ATALREAL.NS,UNKNOWN
ATAM.NS,UNKNOWN
ATGL.NS,OIL_GAS_AND_CONSUMABLE_FUELS
ATHERENERG.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
ATL.NS,UNKNOWN
ATL-RE.NS,UNKNOWN
ATLANTAA.NS,UNKNOWN
ATLANTAELE.NS,UNKNOWN
ATLASCYCLE.NS,UNKNOWN
ATUL.NS,CHEMICALS
ATULAUTO.NS,UNKNOWN
AUBANK.NS,FINANCIAL_SERVICES
AURIGROW.NS,UNKNOWN
AURIONPRO.NS,UNKNOWN
AUROPHARMA.NS,HEALTHCARE
AURUM.NS,UNKNOWN
AUSOMENT.NS,UNKNOWN
AUTOAXLES.NS,UNKNOWN
AUTOIND.NS,UNKNOWN
AVADHSUGAR.NS,UNKNOWN
AVALON.NS,UNKNOWN
AVANTEL.NS,UNKNOWN
AVANTIFEED.NS,UNKNOWN
AVG.NS,UNKNOWN
AVL.NS,UNKNOWN
AVONMORE.NS,UNKNOWN
AVROIND.NS,UNKNOWN
AVTNPL.NS,UNKNOWN
AWFIS.NS,UNKNOWN
AWHCL.NS,UNKNOWN
AWL.NS,FAST_MOVING_CONSUMER_GOODS
AXISBANK.NS,FINANCIAL_SERVICES
AXISCADES.NS,UNKNOWN
AXITA.NS,UNKNOWN
AYMSYNTEX.NS,UNKNOWN
AZAD.NS,UNKNOWN
BAFNAPH.NS,UNKNOWN
BAGFILMS.NS,UNKNOWN
BAIDFIN.NS,UNKNOWN
BAJAJ-AUTO.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
BAJAJCON.NS,UNKNOWN
BAJAJELEC.NS,UNKNOWN
BAJAJFINSV.NS,FINANCIAL_SERVICES
BAJAJHCARE.NS,UNKNOWN
BAJAJHFL.NS,FINANCIAL_SERVICES
BAJAJHIND.NS,UNKNOWN
BAJAJHLDNG.NS,FINANCIAL_SERVICES
BAJAJINDEF.NS,UNKNOWN
BAJEL.NS,UNKNOWN
BAJFINANCE.NS,FINANCIAL_SERVICES
BALAJEE.NS,UNKNOWN
BALAJITELE.NS,UNKNOWN
BALAMINES.NS,UNKNOWN
BALAXI.NS,UNKNOWN
BALKRISHNA.NS,UNKNOWN
BALKRISIND.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
BALMLAWRIE.NS,UNKNOWN
BALPHARMA.NS,UNKNOWN
BALRAMCHIN.NS,FAST_MOVING_CONSUMER_GOODS
BALUFORGE.NS,UNKNOWN
BANARBEADS.NS,UNKNOWN
BANARISUG.NS,UNKNOWN
BANCOINDIA.NS,UNKNOWN
BANDHANBNK.NS,FINANCIAL_SERVICES
BANG.NS,UNKNOWN
BANKA.NS,UNKNOWN
BANKBARODA.NS,FINANCIAL_SERVICES
BANKINDIA.NS,FINANCIAL_SERVICES
BANSALWIRE.NS,UNKNOWN
BANSWRAS.NS,UNKNOWN
BASF.NS,CHEMICALS
BASML.NS,UNKNOWN
BATAINDIA.NS,CONSUMER_DURABLES
BAYERCROP.NS,CHEMICALS
BBL.NS,UNKNOWN
BBOX.NS,UNKNOWN
BBTC.NS,FAST_MOVING_CONSUMER_GOODS
BBTCL.NS,UNKNOWN
BCG.NS,UNKNOWN
BCLIND.NS,UNKNOWN
BCONCEPTS.NS,UNKNOWN
BDL.NS,CAPITAL_GOODS
BEARDSELL.NS,UNKNOWN
BECTORFOOD.NS,UNKNOWN
BEDMUTHA.NS,UNKNOWN
BEL.NS,CAPITAL_GOODS
BELLACASA.NS,UNKNOWN
BELRISE.NS,UNKNOWN
BEML.NS,CAPITAL_GOODS
BEPL.NS,UNKNOWN
BERGEPAINT.NS,CONSUMER_DURABLES
BESTAGRO.NS,UNKNOWN
BETA.NS,UNKNOWN
BFINVEST.NS,UNKNOWN
BFUTILITIE.NS,UNKNOWN
BGRENERGY.NS,UNKNOWN
BHAGCHEM.NS,UNKNOWN
BHAGERIA.NS,UNKNOWN
BHAGYANGR.NS,UNKNOWN
BHANDARI.NS,UNKNOWN
BHARATFORG.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
BHARATGEAR.NS,UNKNOWN
BHARATRAS.NS,UNKNOWN
BHARATSE.NS,UNKNOWN
BHARATWIRE.NS,UNKNOWN
BHARTIARTL.NS,TELECOMMUNICATION
BHARTIHEXA.NS,TELECOMMUNICATION
BHEL.NS,CAPITAL_GOODS
BIGBLOC.NS,UNKNOWN
BIKAJI.NS,FAST_MOVING_CONSUMER_GOODS
BIL.NS,UNKNOWN
BILVYAPAR.NS,UNKNOWN
BIOCON.NS,HEALTHCARE
BIOFILCHEM.NS,UNKNOWN
BIRLACABLE.NS,UNKNOWN
BIRLACORPN.NS,UNKNOWN
BIRLAMONEY.NS,UNKNOWN
BIRLANU.NS,UNKNOWN
BLACKBUCK.NS,UNKNOWN
BLAL.NS,UNKNOWN
BLBLIMITED.NS,UNKNOWN
BLISSGVS.NS,UNKNOWN
BLKASHYAP.NS,UNKNOWN
BLS.NS,CONSUMER_SERVICES
BLSE.NS,UNKNOWN
BLUECOAST.NS,UNKNOWN
BLUEDART.NS,SERVICES
BLUEJET.NS,HEALTHCARE
BLUESTARCO.NS,CONSUMER_DURABLES
